,Unnamed: 0,Id,EssaySet,Score1,Score2,EssayText
26,27,28,1.0,0.0,0.0,). احصل علي 4 عينا مختلفة: رخام ، حجر جير ، خشب ، بلاستيك. ^ ص 2). ضع كل عين في 4 اوع مختلفة. ^ ص 3). صب الخل في كل من 4 اوع منفصل ولك متطابقة. ^ ص 4). بعد 24 ساع اخرج عين من وعاء واشطف كل منه ماء مقطر. ^ ص 5). سماح عين جلوس تجفيف لمد 30 دقيقة. ^ ص 6). تحديد يانا كل عينة. ^ ص 7). سجل ياناتك.
27,28,29,1.0,3.0,3.0,لتكرار هذه تجرب ، تحتاج الي معرف عينات. في اجراء هذه مجموع ، لم يذكر ماذ
28,29,30,1.0,2.0,0.0,في خطو ثالث ، تحتاج الي معرف مقدار الذ يجب استخدام من كل عينة. ايض في خطو تحتاج الي ملء كل حاو نفس الكم ، خطو 4 ، يجب شطف كل حجر نفس قدر. كما لا يوجد متغير تحكم.
31,32,33,1.0,3.0,3.0,"نسب لهذ تجرب ، تحتاج فعل الي معرف ماه كل ""عينة"" ، وكم الخل الت تم استخدام حجم كل ""عينة"""
32,33,34,1.0,3.0,3.0,لتكرار تجرب ، احتاج الي معرف عين الت استخدمها. احتاج ايض الي معرف مقدار الخل الذ يجب استخدامه. احتاج ايض الي معرف نوع حاو الت يجب استخدامها.
33,34,35,1.0,1.0,1.0,لتكرار تجرب ، تحتاج الي معرف كم الخل الت يجب سكب ، تحتاج الي معرف كم ماء مقطر تحتاج ايض الي معرف كيف زنه.
35,36,37,1.0,2.0,2.0,من اجل تكرار تجرب ، احتاج الي معرف مقدار كل ماد يتم استخدام قبل ان اذهب اجد كتلة. احتاج الي معرف مقدار الخل الذ يجب سكب علي كل مادة. علي رغم من انهم يعرض مواد موجود في بيان ، الا انه لا يزال يتعين علي ادراج في اجراء.
36,37,38,1.0,0.0,0.0,احتاج الي معرف غرض من هذه تجرب ، معرف فرق في كتل لكل عين ، احتاج الي معرف ما اعتقد ان كتل بدا والنها كانت.
38,39,40,1.0,2.0,2.0,من اجل تكرار هذه تجرب ، احتاج الي معرف كيف حساب كتل عين اولا. احتاج ايض الي معرف ماه عين اربع ، كما لو لم يتم ذكر في اجراء. اخير لتكرار هذه صلاح ، احتاج الي معرف مقدار الخل الذ تم وضع في كل حاوية.
39,40,41,1.0,1.0,1.0,معلوم اضاف الت تكون مطلوب لتكرار بيان هي معد لازم تجرب ، وما هي مواد الت سيتم استخدام ، وكم من كل ماد سيتم استخدامها؟
41,42,43,1.0,3.0,3.0,بعد قراء اجراء ، احتاج اول الي معرف ما هي عين الت اختبر ثان الت احتاج الي معرف مقدار الخل الذ يتم وضع في كل حاو بعد ذلك ، يجب ان يخبر اجراء عن كيف شطف كل عين في ماء مقطر .
42,43,44,1.0,3.0,3.0,حدد ما هي عين مختلف ، ثم حدد مقدار الخل الذ تضيف الي كل عينة. اذكر المد الت استغرق في رفع مواد في ماء. (علي سبيل مثال 5 دقايق)
43,44,45,1.0,2.0,2.0,من اجل تكرار تجرب مجموع ، احتاج الي كثير من معلوم اضافية. بادء ذي بدء ، احتاج الي معرف ما استخدم كاربع عينا (لحاء صخور)
45,46,47,1.0,2.0,2.0,"هنا شيء اضاف يجب تضمين وهو ما هي ماد او شيء الذ تحتو عين اربع من شيء اخر غير مدرج وهو كم الخل لازم لوضع في كل عاء. لا تحدد كلم ""عينة"" الكم دقيق مطلوب لكل صخرة. يلزم تكرار هذه تجرب تحقق من نتايج."
46,47,48,1.0,0.0,0.0,يمك ان يكون هنا اكثر من اختبار واحد لكل عينة. يمك ان يكون هنا ايض ثاب مضاف الى. ايض ، هنا لحظا طر في تجرب مثل ارتداء نظارا واق امام عين حيث قفازا عند لمس الخل
47,48,49,1.0,0.0,0.0,يجب علي تدوين مزيد من ملاحظ ، بهذ طريق ، في حال تعطل ، يمك حصول علي معلوما حول كيف اعادتها.
48,49,50,1.0,3.0,2.0,كم يجب ان تصب من نبيذ ، مع اي ملصق ، متي تجلس علي ، يجف لمد 30 دقيق .. حاو محصود ، منفصل ولك متطابقة. ما حاو الت يجب ان استخدمها؟
52,53,54,1.0,2.0,2.0,من اجل تكرار مجموع ، احتاج الي معرف مقدار الخل الذ يجب سكب في كل من حاو اربع ومد ذلك ، مقدار عين الت تحتاج الي اضاف لشطف عينات.
53,54,55,1.0,2.0,2.0,يحتاج اجراء الي تحديد انواع اربع من عين الت استخدم ، (الرخام ، حجر جير ، خشب ، بلاستيك). تحتاج الي تحديد مقدار الخل الذ تصب في كل كوب. انت حاج الي مبلغ محدد. يمك ايض اداء وقت في اوقا مختلفة. لذا يمك قيام بذل عند 30 و 45 دقيق لتري ما اذا كان هنا تغيير علي اطلاق في كتل مرور وقت.
54,55,56,1.0,1.0,0.0,معلوم الت احتاج لتكرار تجرب هي ؛ اربع عينا مختلف ، اربع حاويا متطابق ، مقدار وقت سماح عين جلوس ، والمنتج لشطف عين حتي اتم من ترك يجلس لمزيد من معلومات.
55,56,57,1.0,0.0,0.0,لتكرار هذه تجرب ، تحتاج الي حصول علي متوسط ​​الذ تم استخدام في اجراء اخير والسماح لها جلوس لمد ثمان عشر ساع بدل من اربع عشر ساع ثم شطف تسجيل تغيير في كتلة.
56,57,58,1.0,2.0,2.0,نحتاج الي معرف الكم دقيق من الخل الت تدخل كل حاو ، تاكد من ان كل عين نتايج عادلة. نحتاج ايض الي حصول علي كتل بدا محدد حيث يكون لجميع عين نفس الكم او لن تكون نتايج موثوقة. نحتاج ايض الي معرف نوع حاو حجم ، لان نتايج قد تكون غير موثوق اذا كان حاويا عين تحتو علي جميع احجام والاشكال مختلفة.
57,58,59,1.0,3.0,3.0,بعض معلوم اضاف الت قد تحتاج هي عدد الخل الذ تصب يه. وف خطو 3 ايض ، تشير الي اضاف عين من كل مادة. نحتاج الي معرف حجم الذ يجب ان تكون علي عينة. قد يكون شيء الذ يمك ان يوثر علي بيان هو درج حرار الت تجر هذه تجرب فيه ، هل هي درج حرار غرف ، نحتاج الي معرف ذلك.
58,59,60,1.0,3.0,3.0,لتكرار تجرب ، يتطلب اجراء مزيد من تفاصيل. معلوم واحد تم حذف هي كم الخل مستخدم في تجربة. من مهم ايض معرف درج حرار الت تم احتفاظ تجرب فيه خلال ال 24 ساعة. اخير ، يجب ان يتضم اجراء تفاصيل حول تجرب ، علي سبيل مثال اذا كان يجب غمر عين اكملها.
60,61,62,1.0,3.0,3.0,ترك هذه مجموع نفس شيء مهم للغا خارج اجراءاتهم. بادء ذي بدء ، لم يخبر ما هي احواض مستخدم في تجربة. لم يخبر بكم الخل الت يجب استخدام او حجم حاو الت نحتاج كل هذه معلوم لتكرار هذا مختبر.
61,62,63,1.0,1.0,1.0,تحتاج الي اسم عين اربع الت استخدم لانشاء جدول لتسجيل بيانات. اكتب ما تحتاج لتسجيل كتل بدا كتل نها والاختلاف في كتلة.
62,63,64,1.0,0.0,0.0,بعض معلوم اضاف الت احتاج هي كيف عثور علي كتل نوع ادا الت تم استخدامها. ايض عندم يقول ضع عين من ماد ، كم احتاج من كل نوع.
64,65,66,1.0,0.0,0.0,لتكرار هذه تجرب ضبط ، يجب ان تعرف كيف قام قياس كتل جسم ، لان دون ذلك كيف يمك معرف كتل مختلفة. علي معرف كتل بدا كتل نها والاختلاف في كتلة.
65,66,67,1.0,1.0,1.0,بعد قراء اجراءا مجموع ، لم اعرف مقدار الخل الذ سيصب في حاويات. لم تذكر هذه مجموع ايض وقت بدء الذ اضاف فيه خل. لم تذكر هذه مجموع ايض سبب بيان ، بل قال فقط لتحديدها.
67,68,69,1.0,3.0,3.0,- قايم مواد متطلبا سلامة. ^ ص 2. كم الخل مراد وضع في اوعية. ^ ص 3. درج حرار غرف / الخل ^ ص 4. مجموع تحكم.
68,69,70,1.0,1.0,1.0,معلوم اضاف الت تحتاج لتكرار هذه تجرب هي مجموع تحكم. لا ينبغ ان يكون لعثر تحكم اي تاثير علي عين وه ضرور حتي تتم من ناء اجابا علي مصادر موثوقة. ايض من اجل تكرار هذه تجرب ، نحتاج الي معرف كم الخل الت نضع في عينة. نحن ايض حاج الي ان نعرف.
69,70,71,1.0,1.0,1.0,ما تحتاج هو معلوما عن مقدار الخل الذ يضاف الي كل عينة. علي سبيل مثال ، يمك ان تكون عين واحد بكم مختلف من خل. حتي يتم ذلك من تخلص من جماهير نهايية.
71,72,73,1.0,0.0,0.0,ما فعل مجموع طلاب هو تحديد كتل عين مختلفة. اذن ما الذ افعله: ما فعل في بدا او تحقيق ، استخدم عين اقوم تجرب اخري مع عينات.
72,73,74,1.0,1.0,1.0,في الب 2 ، يحتاج الي وضع قياس حاو ^ علي 4 ما هي كم ماء؟ ^ ع في رقم 6 ، ما هو مقياس مفترض استخدام كتلة.
75,76,77,1.0,3.0,3.0,تحتاج الي معرف مقدار الخل الذ تم وضع في حاوية. ما نوع عين الت كنت تقيس تضع في حاو درج حرار الت تم تخزين بها لضمان تجرب متساوية.
76,77,78,1.0,0.0,0.0,تكون اجزاء اضاف من معلوم الت يجب تضمين في اجراء ، مع ما تستخدم لتحديد كتل مثل مقياس ، يكون متغير متحكم فيه واضح في اجراء ، وهو شيء اخير يجب ان يكون لتحر جدول كتل بدا ، والكتل نهاء ، والاختلاف في كتل باستخدام جرام.
77,78,79,1.0,1.0,1.0,لتكرار هذه تجرب ، تحتاج الي معرف عدد مل من الخل الذ يتم سكب في كل عاء. تحتاج ايض الي معرف مقدار ماء مقطر مفترض سكب علي عينات. ايض ، قد ترغب في ان تكون كتل بدا لكل عين هي نفسها.
78,79,80,1.0,1.0,1.0,من اجل تكرار هذه تجرب ، احتاج الي معرف 3 اشياء اخري لم يتم ذكر في اجراء. احتاج الي معرف كم الخل الت تم سكب في حاو ، مقدار وقت الذ كان فيه عين في الخل ، وكم ماء مقطر مستخدم لشطفها.
79,80,81,1.0,3.0,3.0,اشياء اضاف الت ساضع هي اجراء في ما وجد في درج حرار الت ترك فيه حاويات. اود ايض تضمين عينا لما اختبر في تجربة. اخير ، اود ايض ان اضع اجراء خاص بي ، وكم الخل الت يضعونها.
81,82,83,1.0,2.0,2.0,لتكرار هذه تجرب ، تحتاج الي معرف حجم حاو الت ستضع عين فيه ، تحتاج الي معرف كم الخل موضوع في كل حاو ، تحتاج الي معرف ما يجب استخدام لقياس كتل (علي سبيل مثال ، ميزان شعاع ثلاث ، الخ) تحتاج ايض الي معرف ماد الت يجب استخدام لوضع كل عين في حاويات.
83,84,85,1.0,1.0,1.0,تجارب اخري ، كم الخل مستخدم عدم تغيير وقت تاكد من دقتها. لان اذا لم يكن امر كذل ، سوف تقوم تغيير تجربة. عن طريق تغيير اهم اشياء.
84,85,86,1.0,3.0,3.0,لتكرار هذه تجرب ، يجب علي مرء ان يعرف معلوم الت لم يتم توفير من خلال اجراء. اول ، يجب ان نعرف مقدار الخل الذ يجب وضع في حاو ، يكف لتغطيتها؟ بعد ذلك ، نحتاج الي معرف كيف يوثر الخل علي مادة. هل نقوم غمر كامل ام جزيي قط؟ اخير ، نحتاج الي معرف مواد الت يجب استخدامها. تشير بيان الي ، لكن اجراء لا.
86,87,88,1.0,1.0,1.0,من اجل تكرار تجرب ، تحتاج الي معرف عدة اجزاء اخري من معلومات. احد هي كم كل ماد (خشب ، لاست ، رخام ، حجر جيري). تحتاج ايض الي معرف مقدار الخل الذ يجب اضافته. اخير ، يساعد ايض ثابت لكل مادة.
87,88,89,1.0,0.0,0.0,متغير مستقل هو خشب حجر جير مطل بلاستيك ، كان نقط انطلاق رخام 9.8 جرام. كان حجر جير 10.4 جم نقط بدا من خشب 11.2 ، نها تجرب انه علي تحديد كتل كل عينة.
89,90,91,1.0,3.0,3.0,اعتقد ان معرف درج حرار في بيء يكون مفيد جدا ، انا متاكد من اننا قمنا تسخ عين او تجميد ، ولن نحصل علي نفس نتايج. ايض ، نحتاج الي معرف نوع بيء الت يجب ان نضع هذا يها. هل يجب ان تكون مشمس ، او مظلم ، او عاصف ، او ساخن ، او بارد ، وما الي ذلك. اعتقد ايض اننا يجب ان نعرف نوع حاو وكم يجب ان تكون كبير ، لا اعرف حتي الكم مناسب من الخل لصب علي عينات. تفتقد هذه تجرب الي كثير من معلومات.
90,91,92,1.0,0.0,0.0,لك اقوم تكرار هذه صلاح ، يجب ان اعرف ما هي اعاد نظر في هذا انتهاء صلاح نوع نتيج الت يتم حجز كتل كل عين في نها انتهاء صلاحية.
91,92,93,1.0,3.0,3.0,لتكرار تجرب ، تحتاج الي معرف مقدار الخل الذ يجب سكب في كل عاء. تحتاج الي معرف مدة شطف كل عين ماء مقطر وكم ماء. تحتاج ايض الي معرف كيف تحديد لكتل ​​العينا في بدا تجرب نهاي ، تحديد حجم دقيق حاو الت يتم وضع عين يها.
92,93,94,1.0,1.0,2.0,من اجل تكرار تجرب ، نحتاج الي عنصر تحكم. نحتاج ايض الي استخدام عين اربع. شيء اخر هو ما علب الخل الت يجب استخدام كيف وزن كتل كل منها. هذا ما نحتاج لتكرار تجربة.
93,94,95,1.0,3.0,1.0,معلوم اضاف لازم لتكرار تجرب هي كم الخل الت يجب وضع في كل حاوية. يجب ان تظل كم الخل ثابت حتي تكون بيان صحيحة. يمك ان تتاثر نتايج الت تم حصول علي من تجرب اذا تم زياد او نقص كمية. لذل ، هنا حاج الي كم الخل من اجل تكرار تجربة.
94,95,96,1.0,0.0,0.0,لتكرار اجراء مجموع هذا ، تحتاج الي معرف متغير مستقل والتابع اضاف الي مجموع تحكم اجراء. ايض ، لك يكون امر اكثر ضوح ، يحتاج الي تضمين فرض تجرب اضاف الي غرض.
95,96,97,1.0,3.0,3.0,من اجل تكرار تجرب ، يجب ان يضيف اجراء مزيد من تفاصيل. في نقط اولي ، يجب ذكر عين اربع علي انه من رخام والحجر جير والخشب والبلاستيك. يجب ان تصف حاو مكان وضع عين والمقدار الذ تحتاجه. يجب ان تكون هنا خطو حيث تجد كتل بدا قبل تجربة. يجب ايض ان تكون هنا قياسا لمقدار الخل الذ يجب اضافته. اخر شيء ، عندم تقول لتحديد كتل في اجراء ، يجب ان تقول ، جرام.
96,97,98,1.0,1.0,1.0,كان يجب ان يخبر عين الت تم استخدامها. امر ثان كان نتيج ، ما حدث اختلاف.
97,98,99,1.0,3.0,3.0,يحتاج طلاب الي تحديد عينات. هم حاج الي
98,99,100,1.0,2.0,2.0,يجب ان تضيف مجموع كم الخل مستخدم تحكم. كما ينبغ علي مقارن ماد تجريب واحد اخري علي اقل قبل استنتاج ثان للرد ، كما يجب ذكر احجام موصي بها عين من اجل ان تكون نتيج سهل مقارن مع مجموع اخري الت تحاول اكمال هذه تجربة.
99,100,101,1.0,3.0,3.0,معلوم اضاف الت احتاج لتكرار هذه تجرب تكون اسماء فعل عينات. في خطو 2 ، احتاج الي كم الخل محدد لصب في كل عاء. ايض في خطو 4 ، احتاج الي كم ماء مقطر لشطف ومد ذلك.
100,101,102,1.0,2.0,2.0,من اجل تكرار هذه تجرب ، احتاج الي بعض معلوم اضاف وه كيف حدد عنب كتل عين وما الذ استخدم قيام ذلك. احتاج ايض الي معرف كم الخل الت استخدم لصب في كل حاو اضاف الي نوع حاو الت استخدموها.
101,102,103,1.0,1.0,1.0,اول ، نسي هذه مجموع من طلاب ان تضيف في خطو 2 مقدار الخل الذ سيتم سكب في كل حاو متطابقة. في خطو رقم 5 ، لم يقل طلاب تنظيم عين حتي تتم من تسجيل كبيانا منفصل لان كل عين مختلف (رخام ، حجر جير ، خشب ، لاستيك). نس طلاب ايض تضمين خطو 7 ، وه ايجاد فروق في كتلة. اذا كان مجموع اخري من طلاب ستجر هذه تجرب ضبط ، فلن يعرف ما يقارنونه.
102,103,104,1.0,2.0,2.0,اذا كنت اقوم بهذ تجرب ، لكن اخذ درج حرارة. من غرف ، كنت ساعط ايض قياس لمقدار الخل الذ استخدمته.
103,104,105,1.0,0.0,2.0,بعد قراء اجراء مجموع ، هنا حاج الي معلوم اضاف تال ، تحتاج الي مراقب حاو عند ملء كل منه محتوي ، سوف تحتاج الي تاكد من ان كل حاو تحتو علي نفس الكم ، ثم تاكد ايض من ان جميع حاو في نفس غرف درج حرارة.
104,105,106,1.0,1.0,1.0,معلوم اضاف مطلوب هي كم الخل الت يتم سكب في كل قطعة. تحتاج ايض الي تسجيل جميع معلومات. يحتاج الي معرف كم ماء الت يضعون في حاو بعد 24 ساعة.
105,106,107,1.0,2.0,3.0,تحتاج الي حجم حاو وكم الخل مستخدم انواع عينات. مثل ارض والخشب والحجر جير والبلاست مقدار كل منها.
107,108,109,1.0,1.0,1.0,"معلوم اضاف لازم لتكرار تجرب هي قياسا سوايل الت تم سكب في اكواب. كما يتم سكب سوايل في اكواب حجم ماء. في اجراء يقول ""صب الخل في كل من اربع اوا منفصل ولك متطابقة"". هذه هي معلوم اضاف مطلوب لتكرار تجربة."
110,111,112,1.0,1.0,1.0,احتاج الي معرف مواد الت ابدء بها هذه تجربة. ما الذ يجب ان ابحث عنه عند اجراء تجربة؟ كيف يمك تحديد ماس لكل عنصر.
112,113,114,1.0,2.0,2.0,اذا كنت اكرر تجرب ، سوف احتاج الي معرف كم الخل في كل حاو ، حجم حاو ، وما الذ تم استخدام لوز عينات.
113,114,115,1.0,1.0,1.0,لتكرار هذه تجرب ، يجب ان تعرف مقدار كل عين كان من مفترض ان تبدء بها ، وما الذ كنت تحاول تحديد من هذه تجرب ، يجب ان تعرف كيف تم احتفاظ حاو في درج حرار غرف خارج وما الي ذلك.
115,116,117,1.0,2.0,3.0,سوف تحتاج الي معرف احجام والاشكال مختلف عين اربع تسمي ، ولا تصب الخل فيه ، بدل من ذلك تقول قطر في كل حاوية. تريد ان يكون كل شيء كما هو ، عندم تصب لا تحصل دايم علي الكم محدد لكل عاء. اذكر ايض كتل ملصق رقم هيدروجين خل.
116,117,118,1.0,0.0,0.0,سوف تحتاج الي مبلغ اجمال هناك.
117,118,119,1.0,0.0,0.0,صب الخل في كل من حاو اربع منفصل ولك متطابقة. ^ ضع عين واحد في حاو وافعل شيء نفس نسب باق ، ^ بعد 24 ساع ، قم ازال عين واشطف ^ جلوس والضغط لمد 30 دقيقة. ^ ع تحديد ملل.
119,120,121,1.0,1.0,1.0,"لتكرار تجرب ، اقدم ادو مطلوب في قايم حتي يكون ناس اكثر استعداد ، كما اكون اكثر تحديد بشء كلم ""عينات"" لوصف صخور والاحجار. والء من ذلك انن اقوم تحكم ، ساضع رخام والحجر جير والخشب والبلاست في ماء."
120,121,122,1.0,2.0,2.0,من اجل تكرار تجرب ، احتاج الي بعض معلوم اضافية. بادء ذي بدء ، احتاج الي معرف مقدار الخل الذ يجب استخدام في كل حاوية. ثاني ، احتاج الي معرف مواد الت ساضع في خل.
121,122,123,1.0,1.0,2.0,ما تحتاج الي معرف لتكرار تجرب هو كم الخل الت يجب وضع في كل كوب. تحتاج ايض الي سرد مواد الت كنت استخدمها. شيء اخر يجب ان تعرف هو قياس كتل الذ تستخدمه.
122,123,124,1.0,1.0,1.0,تحتاج الي اي نصوص هنا ، ماذ تفعل بعد رقم 6.
123,124,125,1.0,0.0,0.0,كان من افضل اجراء ثلاث تجارب بيان والحصول علي متوسط ​​للبيانات. كما يمك ان يكون اجمال بيان افضل ايضا.
124,125,126,1.0,3.0,3.0,تحتاج اول الي معرف عين الت يتحدث عنها. بعد ذلك ، تحتاج الي معرف مقدار الخل الذ تحتاج الي وضع في كل حاوية. قد تحتاج ايض الي المد الت يجب ان تشطف فيه كل عينة.
125,126,127,1.0,0.0,0.0,"معلوم اضاف الت احتاج لاشعاع تجرب اشرح مظهر نتيج تجربة. اود ان اضع ""بعد 24 ساع ، اخرج عين من حاو واشطف كل عين مع ماء مقطر."" اتر عين لتجف لمد 30 دقيقة. بدل من وضع ""تحديد كتل كل عينة"". اود اخبار نتيج ما حدث كيف انته تجربة."
128,129,130,1.0,3.0,3.0,نقوم صياغ اجراءا سلام صحيح الت يجب اتخاذ ، والتح ، تاثير الخل ، درج حرار تخزين ، وما هي حاو متشابه حجم ، نوع مقياس الذ يجب استخدام لقياس ، وكم الخل في كل حاو ، انا مزيد من تجارب
129,130,131,1.0,3.0,3.0,من اجل تكرار هذه تجرب ، هنا بعض اشياء اخري الت احتاج الي معرفتها. لا توضح مشكل ماه عين اربع مختلفة. ثاني ، احتاج الي معرف مقدار الخل الذ يجب سكب في كل كوب. يمك ان توثر كم الخل علي كتلة. اخير ، احتاج الي مكان تخزين عين لمد 24 ساعة. قد توثر درجا حرار مختلف علي عين مختلفة.
132,133,134,1.0,0.0,0.0,قد تحتاج الي معرف اجزاء ما استخدم حتي لا يفسد تجرب ، او قد لا يعط عدم استخدام كاف او كثير منه نفس نتايج.
133,134,135,1.0,3.0,3.0,من اجل تكرار مختبر ، كان طلاب حاج الي معرف مواد الت يحتاج اليها. ما نوع منطق الت تعمل فيه مختبر وكم الخل الت تحتاج الي سكب في عينات.
134,135,136,1.0,2.0,3.0,معلوم اضاف مطلوب في اجراء هي انه يجب ان تذكر عين الت سيتم استخدامها. ايض ، يجب ان تتضم كم الخل الت نحتاج الي سكب في حاو لان الكم مختلف يمك ان يكون لها نتايج مختلفة. اخير ، يجب ان يتضم حجم حاو لان قد يكون لها نتيج مختلفة.
136,137,138,1.0,3.0,3.0,بعد قراء اجراء مجموع ، فان معلوم اضاف الت قد يحتاج شخص لتكرار تجرب هي ان هنا حاج الي معرف حجم حاو الت توضع فيه عين ، لان حاج الي ان تكون متطابقة. تحتاج ايض الي معرف كم عين الت تحتاج الي وضع في كل حاو من اجل حصول علي نفس كتل بدا الت حصل علي مجموع طلاب من عينات. عامل اخر يجب معرف هو كم الخل الت لا تصب في حاو فيم يتعلق مثال عود تجربة. هنا قطع اخري جيد من معلوم تتمثل في موقع الذ تجف فيه عين وكم ضوء شمس.
137,138,139,1.0,3.0,3.0,تكون بعض معلوم اضاف مطلوب هي مكان وضع حاويات. كما هو حال في شمس او في ثلاجة. ما هي كم الخل الت نضع في حاو وما نوع حاو الت استخدمها؟
139,140,141,1.0,2.0,2.0,ثلاث قطع اضاف من معلوم الت احتاج الي معرف لتكرار هذه تجرب تكون ضبط ماه عين اربع ، وكم الخل الت يجب سكب في كل حاو ، وما هو هدف او يان مشكل ضبط لهذ تجربة. ايض ، ما مقدار ماء مقطر الذ احتاج الي استخدامه.
140,141,142,1.0,2.0,2.0,في هذا اجراء ، احتاج ايض الي معرف مقدار الخل الذ يجب استخدام ، مقياس قياس الذ استخدم حجم كل حاوية.
143,144,145,1.0,2.0,2.0,بعد قراء اجراء ، كان هنا بعض اشياء الت احتاج الي معرف لتكرار تجربة. شيء واحد هو كم الخل مستخدمة. اخر هو مقدار ماء الذ يجب استخدام عند شطف. اخر شيء هو كيف تخزين عين لمد 24 ساعة. كان هنا بعض مشاكل مع هذا اجراء.
144,145,146,1.0,3.0,3.0,ارغب في كم الخل الت يجب وضع في كل كوب ، كما يجب ان تكون اوع مغطا ام لا؟ يكون من مفيد معرف نوع حاو الت يجب وضع مواد يها.
145,146,147,1.0,1.0,1.0,احتاج الي معرف حجم حاو عددها.
146,147,148,1.0,2.0,2.0,ما هي عين / ما هي مواد مستخدم وكم الخل ضعيف في حاويات.
147,148,149,1.0,0.0,0.0,يجب ان يكون طلاب قد وضع فرض لما اعتقد انه يحدث. كما كان علي ان يذكر ما كان يحقق يه. كان ينبغ ان يكون استنتاج من نتايج.
148,149,150,1.0,1.0,1.0,من اجل تكرار تجرب ، تحتاج الي معلوما اضاف مثل كم الخل الت تم سكب في حاو منفصل ، والادوا الت يجب استخدام مثل نظارا الام ، اجراء مزيد من تجارب.
